City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temp,Wind Speed
Yellowknife,CA,62.45,-114.38,1549144800,20,67,-27.41,4.7
Morant Bay,JM,17.88,-76.41,1549144800,40,61,80.6,11.41
Kamenka,RU,53.19,44.05,1549146417,88,91,15.17,4.25
New Iberia,US,30.0,-91.82,1549145400,1,60,73.04,3.36
Longyearbyen,NO,78.22,15.63,1549144200,75,63,30.2,11.41
Kennett,US,36.24,-90.06,1549145700,1,63,64.4,9.17
Saint George,GR,39.45,22.34,1549144200,75,93,44.6,2.57
Santa Isabel,CO,4.71,-75.1,1549144800,75,65,82.4,13.87
Cherskiy,RU,68.75,161.3,1549146422,12,68,-9.54,11.3
Pustoshka,RU,56.34,29.37,1549146423,92,98,34.21,16.67
Lingyuan,CN,41.24,119.4,1549146424,8,37,17.6,14.2
Vestmannaeyjar,IS,63.44,-20.27,1549146424,64,100,27.28,17.67
Klaksvik,FO,62.23,-6.59,1549144200,20,92,21.2,4.36
Richards Bay,ZA,-28.77,32.06,1549146425,68,99,68.95,2.91
Nikolskoye,RU,59.7,30.79,1549144800,90,92,26.6,17.9
Ada,US,47.3,-96.52,1549145700,1,69,25.7,8.05
Launceston,AU,-41.43,147.14,1549143000,0,77,68.0,5.82
El Astillero,ES,43.4,-3.82,1549144800,40,61,46.4,16.11
Hilo,US,19.71,-155.08,1549144380,75,62,80.06,10.29
Walvis Bay,NA,-22.95,14.51,1549144800,48,77,66.2,3.36
Sur,OM,22.57,59.53,1549145906,0,100,70.03,13.65
Starup,DK,55.24,9.54,1549144200,75,97,33.8,6.93
Aleksandrov Gay,RU,50.14,48.57,1549146435,76,82,10.36,3.36
Novo Cruzeiro,BR,-17.47,-41.88,1549146436,12,30,87.4,8.39
Longyan,CN,25.1,117.03,1549146437,100,96,61.7,3.24
Bambous Virieux,MU,-20.34,57.76,1549144800,20,88,75.2,4.7
Abu Zabad,SD,12.35,29.25,1549146439,8,44,70.3,9.62
Warren,US,42.48,-83.03,1549145760,90,69,41.36,8.05
Port Alfred,ZA,-33.59,26.89,1549146440,92,93,71.47,15.77
Caravelas,BR,-17.73,-39.27,1549146084,12,100,81.69,15.99
Aklavik,CA,68.22,-135.01,1549144800,5,74,-13.01,8.05
Itaituba,BR,-4.26,-55.99,1549141200,40,74,86.0,8.05
Conde,BR,-11.81,-37.61,1549146442,24,81,82.14,9.28
San Quintin,PH,17.54,120.52,1549146442,0,84,60.76,2.91
Port Elizabeth,US,39.31,-74.98,1549144560,1,60,32.0,5.82
Torgelow,DE,53.63,14.01,1549144800,90,96,32.0,5.82
Bauchi,NG,10.31,9.85,1549146444,0,50,66.84,4.59
Namatanai,PG,-3.66,152.44,1549146253,48,100,81.05,8.5
Voh,NC,-20.95,164.69,1549146444,12,99,78.4,14.76
Lompoc,US,34.64,-120.46,1549144560,75,72,60.08,11.41
Clyde River,CA,70.47,-68.59,1549144800,75,83,-9.41,18.34
Beyneu,KZ,45.32,55.19,1549146447,76,90,20.89,5.48
Vestmanna,FO,62.16,-7.17,1549144200,44,92,21.2,4.92
Kahului,US,20.89,-156.47,1549144560,90,90,75.02,19.46
Kaitangata,NZ,-46.28,169.85,1549146448,0,74,59.27,4.25
Narsaq,GL,60.91,-46.05,1549144200,44,48,17.6,31.09
Atasu,KZ,48.68,71.64,1549146393,8,47,-8.73,2.68
Santa Cruz,US,36.97,-122.03,1549144560,20,69,59.0,17.22
Podor,MR,16.65,-14.96,1549144800,0,27,75.2,2.24
Saldanha,PT,41.42,-6.55,1549146451,8,90,34.03,7.49
Fare,PF,-16.7,-151.02,1549146451,64,100,81.19,15.99
Bella Vista,AR,-28.51,-59.05,1549146323,92,97,74.26,4.14
Zaria,NG,11.11,7.72,1549146452,0,38,68.41,6.15
La Ronge,CA,55.1,-105.3,1549142160,90,69,-13.01,11.41
Bonavista,CA,48.65,-53.11,1549146453,20,100,20.44,22.59
Nanortalik,GL,60.14,-45.24,1549146454,80,100,27.32,22.03
Grindavik,IS,63.84,-22.43,1549144800,90,68,28.4,20.8
Westport,IE,53.8,-9.52,1549145887,88,96,36.55,8.05
Taganak,PH,6.08,118.3,1549144800,75,83,78.8,3.36
Sao Felix do Xingu,BR,-6.64,-51.99,1549146456,20,80,82.67,2.68
Goderich,CA,43.74,-81.71,1549145987,80,89,28.0,12.53
Paramonga,PE,-10.68,-77.82,1549146457,76,98,74.49,9.95
Chokurdakh,RU,70.62,147.9,1549146457,0,0,-39.37,4.03
Carnarvon,ZA,-30.97,22.13,1549146458,0,25,66.43,11.41
Eruwa,NG,7.53,3.42,1549141200,75,88,80.6,5.82
Ust-Tsilma,RU,65.44,52.15,1549146459,20,71,-15.84,6.15
Hovd,NO,63.83,10.7,1549144200,0,62,24.8,11.41
Coihaique,CL,-45.58,-72.07,1549144800,0,25,87.8,8.05
Ambilobe,MG,-13.19,49.05,1549146461,80,100,72.32,1.9
Buraydah,SA,26.33,43.97,1549144800,0,77,59.0,10.29
Jaumave,MX,23.41,-99.38,1549143600,75,42,80.6,11.41
Boden,SE,65.83,21.69,1549144200,80,84,1.4,4.7
Yinchuan,CN,38.48,106.21,1549146465,0,66,2.89,4.14
Ostrovnoy,RU,68.05,39.51,1549146466,44,88,4.42,7.16
Khatanga,RU,71.98,102.47,1549146467,68,67,-14.53,8.39
Omboue,GA,-1.57,9.26,1549146467,36,100,82.63,4.92
Husavik,CA,50.56,-96.99,1549146074,92,86,4.37,9.17
Bathsheba,BB,13.22,-59.52,1549144800,20,69,77.0,12.75
Nantucket,US,41.28,-70.1,1549144560,90,58,33.08,23.04
Haldensleben,DE,52.29,11.41,1549146469,88,96,32.95,9.73
West Plains,US,36.73,-91.85,1549144380,75,62,62.96,8.05
Port Hardy,CA,50.7,-127.42,1549144800,75,55,37.4,6.93
Atambua,ID,-9.11,124.89,1549146471,100,100,76.42,4.36
Laguna,MX,27.52,-110.01,1549144140,90,53,73.4,2.24
Oriximina,BR,-1.77,-55.87,1549146472,44,75,84.34,2.35
Lyuban,BY,52.8,28.0,1549146472,92,96,34.93,13.2
Ponta do Sol,BR,-20.63,-46.0,1549146473,0,54,86.77,2.91
Waipawa,NZ,-39.94,176.59,1549146473,76,69,62.92,8.72
Saskylakh,RU,71.97,114.09,1549146474,12,39,-25.42,6.6
Piacabucu,BR,-10.41,-36.43,1549146475,8,67,81.91,10.96
Riyadh,SA,24.63,46.72,1549144800,40,55,60.8,9.17
Kruisfontein,ZA,-34.0,24.73,1549146476,0,91,68.86,14.43
Gharo,PK,24.74,67.58,1549144500,0,55,60.8,4.7
Quatre Cocos,MU,-20.21,57.76,1549144800,20,88,75.2,4.7
Cabo San Lucas,MX,22.89,-109.91,1549144140,75,77,73.4,1.01
Mehamn,NO,71.03,27.85,1549146148,0,92,13.82,10.4
Karasjok,NO,69.47,25.52,1549144200,8,76,-4.01,46.08
Moerai,PF,-22.43,-151.33,1549146479,92,100,77.19,15.99
Erdenet,MN,49.03,104.04,1549146480,0,36,-26.68,2.68
Lagoa,PT,37.14,-8.45,1549143000,0,70,48.2,4.7
Manadhoo,MV,5.77,73.38,1549146485,8,100,81.19,6.82
Vaitape,PF,-16.52,-151.75,1549146485,36,100,81.69,16.78
Cidreira,BR,-30.17,-50.22,1549146486,64,89,78.09,7.94
Talnakh,RU,69.49,88.39,1549146487,12,79,-38.34,2.13
Barcelos,PT,41.53,-8.62,1549144800,20,81,44.6,2.24
Uvalde,US,29.21,-99.79,1549144500,90,66,67.82,6.93
Beloha,MG,-25.17,45.06,1549146488,0,74,73.54,14.65
Lashio,MM,22.93,97.75,1549146489,0,85,49.87,1.68
Tasiilaq,GL,65.61,-37.64,1549144200,88,63,28.4,34.45
Kirkwall,GB,58.98,-2.96,1549144200,80,86,33.8,6.93
Naberera,TZ,-4.2,36.93,1549146490,8,64,66.97,5.03
Severo-Kurilsk,RU,50.68,156.12,1549146491,68,100,31.6,23.49
Worland,US,44.02,-107.96,1549145700,1,64,51.08,9.17
Edson,CA,53.59,-116.44,1549145820,75,57,-9.41,12.75
Palmer,AU,-34.85,139.16,1549144800,0,19,86.0,8.05
Ahipara,NZ,-35.17,173.16,1549146493,68,96,67.87,14.88
Egvekinot,RU,66.32,-179.17,1549146493,80,79,-2.65,8.84
Norman Wells,CA,65.28,-126.83,1549144800,20,74,-25.61,2.24
Pisco,PE,-13.71,-76.2,1549144800,0,30,71.6,19.46
Bayburt,TR,40.26,40.22,1549146495,0,66,3.65,2.01
Pomabamba,PE,-8.82,-77.46,1549146496,32,100,51.4,0.34
Kieta,PG,-6.22,155.63,1549146187,48,100,80.02,6.93
Khuzhir,RU,53.19,107.35,1549146498,0,89,-29.43,2.35
Portland,US,45.52,-122.67,1549144380,75,79,51.98,11.41
Broome,GB,52.47,1.45,1549144560,75,93,35.6,8.05
Ribeira Grande,PT,38.52,-28.7,1549141200,75,88,62.6,8.05
Vila Velha,BR,-3.71,-38.6,1549144800,75,88,80.6,5.82
Cloquet,US,46.72,-92.46,1549145760,1,76,30.2,10.29
Evensk,RU,61.92,159.24,1549146501,68,99,17.74,19.46
Rio Grande,BR,-32.03,-52.1,1549146502,48,94,75.47,18.79
Sisophon,KH,13.59,102.97,1549146428,8,76,75.79,2.68
Placido de Castro,BR,-10.34,-67.19,1549146503,80,78,81.64,2.46
Almora,IN,29.6,79.66,1549146503,0,70,40.15,3.47
Okhotsk,RU,59.36,143.24,1549146504,76,99,7.21,6.6
Lata,IN,30.78,78.62,1549145916,0,73,29.44,2.91
Pelotas,BR,-31.77,-52.34,1549146505,48,94,75.47,18.79
Tuatapere,NZ,-46.13,167.69,1549146505,44,95,56.71,3.91
Golden,CA,51.3,-116.96,1549144800,90,86,28.4,6.93
Banda Aceh,ID,5.56,95.32,1549146507,8,100,72.95,2.13
Tala,MX,20.65,-103.7,1549143840,40,7,78.8,9.17
Samsun,TR,41.29,36.33,1549144200,0,80,39.2,3.36
Tabriz,IR,38.08,46.29,1549144800,40,85,24.8,11.41
Eureka,US,40.8,-124.16,1549144500,1,100,59.0,5.82
Moscow,RU,55.75,37.62,1549144800,90,100,24.8,6.71
Salta,AR,-24.79,-65.41,1549144800,75,83,69.8,3.36
Guerrero Negro,MX,27.97,-114.04,1549146091,92,68,67.87,3.8
Baherden,TM,38.44,57.43,1549146511,76,100,44.11,2.24
Kavieng,PG,-2.57,150.8,1549146512,48,100,79.84,10.74
Kavaratti,IN,10.57,72.64,1549146513,0,98,83.35,5.93
Tessalit,ML,20.2,1.01,1549146516,0,34,58.42,4.59
Angra dos Reis,BR,-23.01,-44.32,1549141200,0,66,87.8,17.22
Aracruz,BR,-19.82,-40.27,1549144800,0,74,82.4,14.99
Ajdabiya,LY,30.75,20.22,1549146518,20,20,62.15,12.75
Daru,SL,7.99,-10.85,1549146519,8,79,77.86,5.14
Qiongshan,CN,20.01,110.35,1549144800,20,100,64.4,5.93
Upernavik,GL,72.79,-56.15,1549146520,8,100,6.04,12.19
Igarka,RU,67.47,86.57,1549146520,12,80,-38.2,3.24
Limon,US,39.26,-103.69,1549144500,1,29,53.06,4.7
Sibolga,ID,1.74,98.78,1549146522,44,100,68.9,1.34
Marzuq,YE,14.4,46.47,1549146522,0,84,45.91,2.68
Sitka,US,37.17,-99.65,1549146242,0,51,67.55,17.22
Mandali,IQ,33.75,45.55,1549146523,48,88,47.98,4.36
Chalchihuites,MX,23.48,-103.88,1549146524,24,23,68.23,3.8
Virginia Beach,US,36.85,-75.98,1549144740,20,76,51.8,5.82
Yar-Sale,RU,66.83,70.83,1549146525,32,46,-27.9,6.93
Beruwala,LK,6.48,79.98,1549146525,80,100,78.13,5.03
Scarborough,GB,54.28,-0.41,1549144200,0,95,32.0,5.82
Roald,NO,62.58,6.12,1549144200,0,100,32.0,17.22
Salekhard,RU,66.54,66.62,1549146527,24,0,-36.09,4.81
Djambala,CG,-2.55,14.76,1549146528,48,92,74.12,2.68
Constitucion,MX,23.99,-104.67,1549143720,75,9,73.4,4.25
Gravdal,NO,59.79,5.78,1549144200,12,68,30.2,9.17
San Patricio,PY,-26.98,-56.83,1549146529,68,72,84.16,7.16
Birao,CF,10.3,22.78,1549146530,0,35,75.02,8.72
Ingham,AU,-18.65,146.16,1549146530,100,100,76.51,10.29
Sisimiut,GL,66.94,-53.67,1549146462,12,92,8.11,6.6
Hobyo,SO,5.35,48.53,1549146532,20,89,74.26,17.34
Kaliua,TZ,-5.06,31.79,1549146532,56,83,69.35,3.8
Grand Gaube,MU,-20.01,57.66,1549144800,20,88,75.2,4.7
Neiva,CO,2.93,-75.29,1549144800,40,41,93.2,2.24
Taoudenni,ML,22.68,-3.98,1549146534,0,49,57.25,8.05
Altamont,CA,49.4,-98.5,1549145700,92,100,6.8,10.29
Arman,RU,59.7,150.17,1549146029,48,62,-0.45,16.67
Chumikan,RU,54.72,135.31,1549146535,0,53,-4.32,9.17
Harrisonville,US,38.65,-94.35,1549145700,90,82,59.0,12.75
Sahuaripa,MX,29.05,-109.23,1549146537,44,50,68.5,2.57
Magdagachi,RU,53.45,125.8,1549146537,44,64,-22.45,3.47
Moussoro,TD,13.64,16.49,1549146538,24,48,74.44,4.7
Kharan,PK,28.58,65.42,1549146538,24,84,42.17,2.35
Eenhana,NA,-17.48,16.34,1549146539,20,67,74.53,3.69
Lebu,ET,8.96,38.73,1549146539,0,48,41.5,3.69
Nchelenge,ZM,-9.35,28.74,1549146540,48,96,68.86,2.46
Katsuura,JP,33.93,134.5,1549144800,75,86,39.2,9.17
Norden,DE,53.59,7.21,1549144500,90,93,35.6,3.36
Houma,CN,35.63,111.36,1549146542,92,56,28.85,9.17
Yulara,AU,-25.24,130.99,1549144800,0,39,82.4,6.93
Morondava,MG,-20.3,44.28,1549146543,0,100,79.7,1.34
Kang,BW,-23.67,22.79,1549146544,88,29,86.05,7.49
Salinopolis,BR,-0.61,-47.36,1549146544,88,100,80.47,10.29
Rio Branco,BR,-9.98,-67.82,1549144800,75,100,75.2,2.24
Tupik,RU,54.43,119.94,1549146545,0,56,-34.02,2.46
Privolzhskiy,RU,55.96,48.41,1549144800,90,92,21.2,6.71
Senanga,ZM,-16.1,23.3,1549146546,20,70,72.46,9.28
Poum,MK,41.28,20.71,1549146548,8,80,32.14,2.68
Saurimo,AO,-9.66,20.4,1549146548,56,100,68.0,3.69
Zhangjiakou,CN,40.77,114.88,1549146072,0,51,11.49,9.51
Paka,HR,45.29,18.06,1549144800,0,71,51.8,19.46
Manokwari,ID,-0.87,134.08,1549146550,48,100,81.24,10.07
Burnie,AU,-41.05,145.91,1549146550,0,95,66.52,3.47
Kutum,SD,14.2,24.66,1549146551,0,52,61.3,7.16
Auki,NG,12.18,6.51,1549146551,0,33,69.54,6.38
Craigieburn,AU,-37.6,144.94,1549144800,0,48,84.2,23.04
Bima,ID,-8.45,118.73,1549146552,64,100,75.39,2.57
Tabou,CI,4.42,-7.36,1549146130,64,100,80.74,11.52
Uddevalla,SE,58.35,11.94,1549144200,92,92,32.0,14.99
San Vicente,SV,13.64,-88.78,1549144200,20,58,86.0,6.93
Ancud,CL,-41.87,-73.83,1549144800,0,32,84.2,8.05
Obihiro,JP,42.92,143.2,1549146556,0,66,19.22,10.18
Satipo,PE,-11.26,-74.64,1549146557,80,91,69.49,1.79
Redcar,GB,54.62,-1.06,1549144200,0,79,26.6,5.82
Tadine,NC,-21.55,167.88,1549146561,88,100,75.39,15.21
Rudnichnyy,RU,59.7,60.29,1549146561,68,67,-15.03,4.36
Camacha,PT,33.08,-16.33,1549143000,75,54,60.8,12.75
Bo Rai,TH,12.57,102.54,1549146562,12,97,71.83,2.01
Vesyegonsk,RU,58.67,37.27,1549146563,88,93,23.14,5.37
Changde,CN,29.04,111.68,1549146564,92,97,46.59,8.05
Harper,US,30.3,-99.24,1549144500,90,67,66.02,10.29
Sorong,ID,-0.86,131.25,1549146565,92,100,79.89,9.73
Palaikastron,GR,35.2,26.25,1549146565,8,100,61.07,19.35
Pevek,RU,69.7,170.27,1549146258,32,90,-15.3,11.41
Nemuro,JP,43.32,145.57,1549146566,32,100,28.09,22.93
Morehead,US,38.18,-83.43,1549145700,1,62,57.02,3.36
Gallup,US,35.53,-108.74,1549144380,90,52,50.0,11.41
Pringsewu,ID,-5.36,104.98,1549146568,76,95,74.12,2.13
Summerville,US,33.02,-80.17,1549144560,90,48,62.6,4.7
Flinders,AU,-34.58,150.85,1549144800,76,69,78.8,6.93
Yerbogachen,RU,61.28,108.01,1549146570,32,0,-46.08,4.59
Noumea,NC,-22.28,166.46,1549144800,90,69,82.4,11.41
Esperance,TT,10.24,-61.45,1549144800,20,65,78.8,11.41
Alofi,NU,-19.06,-169.92,1549144800,92,66,84.2,11.41
Sosnogorsk,RU,63.59,53.93,1549146572,76,58,-11.97,6.38
Mantua,IT,45.16,10.79,1549144500,75,100,42.8,4.7
Ishigaki,JP,24.34,124.16,1549144800,75,78,71.6,12.75
Dunedin,NZ,-45.87,170.5,1549146184,0,73,58.87,3.91
Saint Anthony,US,43.97,-111.68,1549144560,90,78,37.94,3.36
Alugan,PH,12.22,125.48,1549146574,80,93,76.51,14.43
West Bay,GB,50.71,-2.76,1549144200,0,86,33.8,6.93
Gat,SN,14.69,-16.54,1549144800,12,41,75.2,2.24
Tecoanapa,MX,16.99,-99.26,1549143960,5,61,82.4,5.82
Katiola,CI,8.14,-5.1,1549144800,0,65,80.6,9.17
Dicabisagan,PH,17.08,122.42,1549146294,92,100,72.73,8.95
Waingapu,ID,-9.65,120.26,1549146578,80,100,75.65,5.48
Fort Nelson,CA,58.81,-122.69,1549141200,90,69,-11.21,9.17
High Level,CA,58.52,-117.13,1549144800,90,68,-18.41,14.99
Portree,GB,57.41,-6.19,1549146580,44,100,39.34,10.85
Killybegs,IE,54.63,-8.45,1549146580,88,100,38.49,8.72
Reconquista,AR,-29.14,-59.64,1549146581,88,94,78.58,3.91
Yenagoa,NG,4.92,6.26,1549146582,12,84,78.76,6.15
Yima,CN,34.75,111.87,1549146582,92,64,30.34,13.53
Bay Roberts,CA,47.58,-53.28,1549144800,75,72,17.6,16.11
Buenavista,CO,4.36,-75.74,1549144800,40,58,82.4,2.01
Kalmunai,LK,7.42,81.82,1549146585,56,100,71.79,3.91
Plum,US,40.5,-79.75,1549145700,1,74,39.2,9.17
Pacific Grove,US,36.62,-121.92,1549144500,40,61,57.92,11.41
Darhan,MN,49.49,105.92,1549146586,32,35,-25.38,3.58
Gopalpur,IN,25.6,86.94,1549146225,0,86,56.89,7.38
Bochil,MX,17.0,-92.89,1549143600,40,33,89.6,5.82
Odessa,US,31.85,-102.37,1549144500,1,25,71.42,16.11
Nazas,MX,25.22,-104.11,1549146589,8,26,71.15,3.69
Dwarka,IN,28.58,77.04,1549144800,20,100,50.0,5.82
Taltal,CL,-25.41,-70.49,1549146590,0,63,74.3,5.03
Vilhena,BR,-12.74,-60.15,1549141200,40,78,77.0,8.05
Bereda,ES,43.27,-7.54,1549144800,40,100,39.2,4.7
Mocuba,MZ,-16.84,36.99,1549146138,56,93,74.71,2.91
Jablah,SY,35.36,35.93,1549144800,0,75,46.4,4.7
Coquimbo,CL,-29.95,-71.34,1549144800,75,77,66.2,12.75
Steinbach,CA,49.53,-96.69,1549144800,90,65,6.8,9.17
Kambove,CD,-10.88,26.6,1549146594,56,96,64.09,1.01
Geraldton,CA,49.72,-86.95,1549144800,90,64,-4.01,8.05
Ouahigouya,BF,13.58,-2.42,1549146595,0,54,72.28,3.13
Jalingo,NG,10.3,10.93,1549146596,0,32,72.64,6.93
Ambunti,PG,-4.22,142.82,1549146597,92,100,72.73,2.46
Mahebourg,MU,-20.41,57.7,1549144800,20,88,75.2,4.7
Strezhevoy,RU,60.73,77.6,1549144800,40,72,-38.21,4.47
Netrakona,BD,24.88,90.72,1549146598,0,83,53.87,1.9
SriramPur,BD,23.92,90.13,1549144800,0,72,66.2,2.68
Praia,BR,-20.25,-43.81,1549141200,0,35,89.6,5.82
Batagay-Alyta,RU,67.8,130.41,1549146599,12,0,-44.5,2.68
Comandau,RO,45.77,26.27,1549146600,8,85,28.99,2.13
Oyem,GA,1.6,11.57,1549146601,80,92,73.47,2.28
Camapua,BR,-19.53,-54.04,1549146602,20,59,80.35,2.95
Muncar,ID,-8.43,114.34,1549146603,48,94,80.8,3.62
